armenian,phonetic
"աստուծոյ","ishkhanootyoon"
"երկիրպագեսցուք:","yév"
"դպր.","dcn."
"առաջի","orhnya"
"քո","dér."
"տէր:","clb."
"քհն.","dér"
"խաղաղութեամբ","asdvadz"
"քով","orhnéstsé"
"քրիստոս","zaménésyant."
"հաւատացելոց","dcn."
"պատարագ","vok"
"սրկ.","hérakhayits"
"մի՝","vok"
"յերախայից","térahavadits"
"թերահաւատից","yév"
"յապաշխարողաց","vok"
"յանմաքրից","chr."
"ﬔրձեսցի","marmin"
"յաստուածային","déroonagan"
"խորհուրդս:","yév"
"դպր.","aryoon"
"մարﬕն","pûrgchagan"
"տէրունական","arachi"
"արիւն","yérgnayin"
"փըրկչական","dcn."
"կայ","saghmos"
"առաջի","asatsék"
"երկնային","dyarn"
"զօրութիւնքն","asdoodzo"
"յաներեւոյթս","méroom"
"երգեն","tûbirk"
"ասեն","tsayniv"
"անհանգիստ","chr."
"բարբառով.","hûréshdagayin"
"սուրբ","garkavorootyamp"
"սուրբ","lûtsér"
"սուրբ","asdvadz"
"տէր","zko"
"զօրութեանց:","soorp"
"սրկ.","zégéghétsi."
"սաղմոս","chr."
"ասացէք","bashdén"
"տեառն","ûzkéz"
"աստուծոյ","dér"
"ﬔրում","yév"
"դըպիրք","martgané"
"ձայնիւ","hajétsar"
"քաղցրութեամբ","ûntoonil"
"զերգս","zorhnootyoon"
"սրկ.","dcn."
"եւըս","yév"
"խաղաղութեան","yévûs"
"զտէր","khaghaghootyan"
"աղաչեսցուք:","ûzdér"
"դպր.","aghachéstsook."
"տէր","chr."
"ողորﬔա:","dér"
"սրկ.","voghormya."
"եւըս","dcn."
"հաւատով","yév"
"սըրբութեամբ","yévûs"
"կացցուք","havadov"
"յաղօթս","yév"
"առաջի","sûrpootyamp"
"սըրբոյ","gatsook"
"սեղանոյս","haghots"
"աստուծոյ","arachi"
"ահիւ։…","sûrpo"
"դպր.","chr."
"կեցո","gétso"
"տէր","dér"
"ողորﬔա:","yév"
"քհն.","chr."
"շնորհօք","yév"
"մարդասիրութեամբ","ûnt"
"տեառն","hokvooyt"
"ﬔրոյ","koom."
"փրկչին","dcn."
"յիսուսի","asdoodzo"
"քրիստոսի","yérgirbakéstsook."
"ընդ","dcn."
"որում","vogchooyn"
"քեզ՝","dook"
"հօր","mimyants"
"ﬕանգամայն","hampooyr"
"հոգւոյդ","sûrpootyan"
"սրբոյ","yév"
"վայել","vork"
"էփա-ռք","voch"
"իշխանութիւն","chr."
"պատիւ","krisdos"
"այժմ","méch"
"ﬕշտ","mér"
"յաւիտեանս","haydnétsav"
"յաւիտենից։","vor"
"ամէն:","énn"
"խաղաղութիւն","asdvadz"
"shnorhok","asd"
"yévաﬔնեցուն:","pazmétsav"
"դպր.","chr."
"ընդ","art"
"հոգւոյդ","bashdonyayk"
"քում:","partsyal"
"սրկ.","ûztsayn"
"աստուծոյ","dook"
"երկիրպագեսցուք:","zorhnootyoon"
"դպր.","péran"
"սրկ.","dcn."
"ահիւ","ahiv"
"կացցուք","gatsook"
"երկիւղիւ","yérgyooghiv"
"կացցուք","gatsook"
"բարւոք","parvok"
"կացցուք","gatsook"
"նայեցարուք","yév"
"ըզգուշութեամբ:","nayétsarook"
"դպր.","dcn."
"քեզ","badarak"
"աստուած:","krisdos"
"սրկ.","madchi"
"պատարագ","anarad"
"քրիստոս","karn"
"մատչի","asdoodzo."
"անարատ","chr."
"գառն","voghormootyoon"
"աստուծոյ:","yév"
"դպր.","khaghaghootyoon"
"ողորմութիւն","yév"
"խաղաղութիւն","badarak"
"պատարագ","orhnootyan."
"օրհնութեան:","clb."
"քհն.","shnorhk"
"շնորհք","sér"
"սէր","yév"
"աստուածային","asdvadzayin"
"սրբարար","sûrparar"
"զօրութիւնն","zorootyoonûn"
"հօր","hor"
"որդւոյ","yév"
"հոգւոյն","vortvo"
"սրբոյ","dcn."
"եղիցի","ûztûroons"
"ընդ","ûztûroons"
"ձեզ","aménayn"
"ընդ","imasdootyamp"
"աﬔնեսեան:","yév"
"դպր.","ûzkooshootyamp"
"ամէն։","chr."
"ընդ","arzhan"
"հոգւոյդ","yév"
"քում:","irav."
"սրկ.","clb."
"ըզդըրունս","yév"
"ըզդըրունս","ûnt"
"աﬔնայն","sérovpésûn"
"իմաստութեամբ","yév"
"ըզգուշութեամբ.","ûnt"
"վեր","kérovpésûn"
"ընծայեցուցէք","miyatsayn"
"ըզﬕտըս","sûrpasatsootyamp"
"դպր.","chr."
"սուրբ","soorp"
"սուրբ","soorp"
"սուրբ","soorp"
"տէր","dér"
"զօրութեանց.","zorootyants"
"երկինք","yén"
"երկիր","yérgink"
"wառօք","yév"
"քո.","yérgir"
"օրհնութիւն","parok"
"բարձունս","clb."
"օրհնեալդ","arék"
"եկիր","gérék"
"գալոցդ","ays"
"անուամբ","marmin"
"տեառն:","im"
"ովսաննա","vor"
"բարձունս:","vasûn"
"քհն.","tsér"
"առէք","yév"
"կերէք","pazmats"
"այս","pashkhi"
"մարﬕն","clb."
"իմ","arpék"
"վասն","sûmané"
"ձեր","aménékyan"
"բազմաց","ays"
"բաշխի","aryoon"
"քաւութիւն","noro"
"թողութիւն","ookhdi"
"ﬔղաց:","vor"
"դպր.","haghakûs"
"ամէն:","chr."
"քհն.","amén."
"արբէք","hayr"
"սմանէ","yérgnavor"
"աﬔնեքեան","vor"
"այս","zortit"
"արիւն","yédoor"
"նորոյ","mah"
"ուխտի","vasûn"
"յաղագս","mér"
"ձեր","bardaban"
"բազմաց","clb."
"հեղանի","yév"
"քաւութիւն","ûzkooys"
"թողութիւն","koyots"
"ﬔղաց:","kéz"
"դպր.","madootsanémk"
"ամէն:","ûsd"
"հայր","aménayni"
"երկնաւոր","yév"
"զորդիդ","haghaks"
"ետուր","chr."
"մահ","haménayni"
"վասըն","orhnyal"
"ﬔր","és"
"պարտապան","dér."
"պարտեաց","orhnémk"
"ﬔրոց.","ûzkéz"
"հեղմամբ","kovémk"
"արեան","ûzkéz"
"նորա","kohanamk"
"աղաչեմք","dcn."
"ըզքեզ","orhnya"
"ողորﬔա","dér."
"բանաւոր","clb."
"հօտի:","khaghaghootyoon"
"քհն.","aménétsoon."
"զքոյս","chr."
"քոյոց","yév"
"քեզ","ûnt"
"մատուցանեմք","hokvooyt"
"ըստ","koom."
"աﬔնայնի","dcn."
"յաղագս","asdoodzo"
"աﬔնեցուն:","yérgirbakéstsook."
"դպր.","chr."
"առաջի","arachi"
"քո","ko"
"տէր:","dér."
"որդի","vorti"
"աստուծոյ","asdoodzo"
"պատարագեալ","vor"
"հօր","badarakyal"
"հաշտութիւն","hor"
"հաց","hashdootyoon"
"կենաց","clb."
"բաշխիս","vorbészi"
"ﬔզ.","yéghitsi"
"հեղմամբ","aménétsoon"
"արեան","méz"
"սուրբ","mértsétsélotsûs"
"աղաչեմք","hantadabardootyoon"
"ըզքեզ","kavootyoon"
"ողորﬔա","yév"
"արեամբ","toghootyoon"
"քով","méghats."
"փըրկեալ","chr."
"հօտի:","hoki"
"քհն.","asdoodzo"
"որպէսզի","vor"
"եղիցի","zparagtsi"
"աﬔնեցուն","zkhorhoort"
"ﬔրձեցելոցս՝","ichyal"
"յանդատապարտութ-","hérgnits"
"իւն","gadarés"
"քաւութիւն","clb."
"թողութիւն","ûnt"
"ﬔղաց:","vors"
"դպր.","yév"
"հոգի","méz"
"աստուծոյ","ayts"
"զwառակցի","arastsés"
"զխորհուրդ","parérar"
"իջեալ","asdvadz"
"յերկնից.","aghachémk."
"կատարես","chr."
"ձեռըն","hishya"
"ﬔր.","dér"
"հեղմամբ","yév"
"արեան","voghormya."
"սորա","clb."
"աղաչեմք","asdvadzadznin"
"ըզքեզ","sûrpo"
"հանգո","goosin"
"զհոգիս","mariyamoo"
"ննջեցելոցն:","yév"
"քհն.","hovhannoo"
"ընդ","mûgûrdchin"
"որս","chr."
"այց","hishya"
"արասցես","dér"
"բարերար","yév"
"աստուած","voghormya."
"աղաչեմք:","dcn."
"դպր.","arakélots"
"յիշեա","sûrpots"
"տէր","markaréyits"
"ողորﬔա:","vartabédats"
"քհն.","mardirosats"
"աստուածածնին","yév"
"սրբոյ","aménayn"
"կուսին","chr."
"մարիամու","hishya"
"յովհաննու","dér"
"մկըրտչին","yév"
"ստեփանոսի","voghormya."
"սրկ.","dcn."
"օրհնեալ","orhnyal"
"գովեալ","kovyal"
"փառաւորեալ","yév"
"հրաշալի","paravoryal"
"աստուածազարդ","hrashali"
"յարութեանըն","yév"
"քրիստոսի","asdvadzazart"
"երկիրպագանեմք:","harootyanûn"
"դպր.","chr."
"փառք","park"
"յարութեան","harootyan"
"քո","ko"
"տէր:","dér"
